From,To,Subject,Time,noofattachments,noofattachments_downloaded
Akasa Air <updates@travel-akasaair.in>,yatra.gst@yatra.com,Tax Invoice 161MCPGRX0524001 - SNV Aviation Pvt. Ltd. (Akasa Air),,1,1
Akasa Air <updates@travel-akasaair.in>,traveladmin@renewpower.in,Tax Invoice 071GBR8QK0524001 - SNV Aviation Pvt. Ltd. (Akasa Air),,1,1
Akasa Air <updates@travel-akasaair.in>,yatra.gst@yatra.com,Tax Invoice 181C4KNTC0524001 - SNV Aviation Pvt. Ltd. (Akasa Air),,1,1
Akasa Air <updates@travel-akasaair.in>,yatra.gst@yatra.com,Tax Invoice 191P83MXJ0524001 - SNV Aviation Pvt. Ltd. (Akasa Air),,1,1
Akasa Air <updates@travel-akasaair.in>,yatra.gst@yatra.com,Tax Invoice 271E9PY2N0524001 - SNV Aviation Pvt. Ltd. (Akasa Air),,1,1
Akasa Air <updates@travel-akasaair.in>,bpcl.gst@yatra.com,Tax Invoice 271U8BBSJ0524001 - SNV Aviation Pvt. Ltd. (Akasa Air),,1,1
Akasa Air <updates@travel-akasaair.in>,yatra.gst@yatra.com,Tax Invoice 291PF13RR0524001 - SNV Aviation Pvt. Ltd. (Akasa Air),,1,1
Akasa Air <updates@travel-akasaair.in>,yatra.gst@yatra.com,Tax Invoice 161A47KMC0524001 - SNV Aviation Pvt. Ltd. (Akasa Air),,1,1
Akasa Air <updates@travel-akasaair.in>,bpcl.gst@yatra.com,Tax Invoice 271H818VW0524001 - SNV Aviation Pvt. Ltd. (Akasa Air),,1,1
Akasa Air <updates@travel-akasaair.in>,yatra.gst@yatra.com,Tax Invoice 291L866RW0524001 - SNV Aviation Pvt. Ltd. (Akasa Air),,1,1
Akasa Air <updates@travel-akasaair.in>,techmahindra.gst@yatra.com,Tax Invoice 241F1UZYL0524001 - SNV Aviation Pvt. Ltd. (Akasa Air),,1,1
Akasa Air <updates@travel-akasaair.in>,yatra.gst@yatra.com,Tax Invoice 271OYZQ4A0524001 - SNV Aviation Pvt. Ltd. (Akasa Air),,1,1
Akasa Air <updates@travel-akasaair.in>,bpcl.gst@yatra.com,Tax Invoice 301EEBWUR0524001 - SNV Aviation Pvt. Ltd. (Akasa Air),,1,1
Akasa Air <updates@travel-akasaair.in>,bpcl.gst@yatra.com,Tax Invoice 271JZHNUB0524001 - SNV Aviation Pvt. Ltd. (Akasa Air),,1,1
Akasa Air <updates@travel-akasaair.in>,bpcl.gst@yatra.com,Tax Invoice 271EBBJ5X0524001 - SNV Aviation Pvt. Ltd. (Akasa Air),,1,1
Akasa Air <updates@travel-akasaair.in>,bpcl.gst@yatra.com,Tax Invoice 271R8LMUW0524001 - SNV Aviation Pvt. Ltd. (Akasa Air),,1,1
